household_key,alert_day,window_end,returned_after_alert,churned,high_value,campaign_in_window,redeemed_in_window,home_store,alert_week,end_week,promo_in_window
97,351,356,True,False,False,False,False,364,51,51,True
98,384,396,True,False,False,True,False,337,55,57,True
99,379,380,True,False,True,False,False,31782,55,55,True
101,381,386,True,False,False,False,False,441,55,56,True
103,349,374,True,False,False,False,False,370,50,54,True
104,414,415,True,False,False,False,False,421,60,60,True
105,416,430,True,False,False,True,False,403,60,62,True
107,349,355,True,False,False,False,False,329,50,51,True
108,360,367,True,False,False,False,False,313,52,53,True
109,431,439,True,False,False,True,False,374,62,63,True
110,352,367,True,False,False,False,False,372,51,53,True
111,364,372,True,False,False,False,False,289,52,54,True
113,460,464,True,False,True,True,False,375,66,67,True
114,349,351,True,False,False,False,False,31401,50,51,True
115,418,421,True,False,True,True,True,329,60,61,True
116,349,350,True,False,False,False,False,389,50,50,False
117,420,426,True,False,False,True,True,286,60,61,True
119,357,358,True,False,False,False,False,396,51,52,True
121,351,353,True,False,False,False,False,292,51,51,True
122,349,374,True,False,False,True,False,330,50,54,True
123,382,383,True,False,False,False,False,289,55,55,True
124,384,391,True,False,False,False,False,443,55,56,True
125,382,383,True,False,True,True,False,323,55,55,True
126,349,390,True,False,False,False,False,441,50,56,True
127,367,373,True,False,False,False,False,31401,53,54,True
131,390,393,True,False,True,False,False,333,56,57,True
132,383,384,True,False,False,False,False,363,55,55,True
133,422,431,True,False,False,True,False,391,61,62,True
134,377,384,True,False,False,False,False,427,54,55,True
135,364,368,True,False,False,False,False,424,52,53,True
136,349,367,True,False,False,False,False,300,50,53,True
137,368,387,True,False,False,False,False,422,53,56,True
138,362,371,True,False,False,False,False,304,52,53,True
140,349,361,True,False,False,True,False,295,50,52,True
141,363,368,True,False,False,False,False,313,52,53,True
142,353,354,True,False,False,True,False,436,51,51,True
143,376,377,True,False,True,False,False,324,54,54,True
144,357,361,True,False,False,False,False,313,51,52,True
145,434,449,True,False,False,False,False,356,62,65,True
146,361,368,True,False,False,False,False,360,52,53,True
147,367,368,True,False,False,False,False,341,53,53,True
148,372,434,True,False,False,False,False,381,54,62,True
149,349,378,True,False,True,True,False,327,50,54,True
151,377,542,True,False,False,True,False,380,54,78,True
152,374,375,True,False,False,False,False,343,54,54,True
153,410,420,True,False,False,False,False,297,59,60,True
154,349,351,True,False,False,False,False,313,50,51,True
155,407,409,True,False,False,False,False,402,59,59,True
156,372,373,True,False,True,False,False,361,54,54,True
157,351,357,True,False,False,False,False,446,51,51,True
158,362,366,True,False,False,False,False,292,52,53,True
159,349,351,True,False,False,False,False,313,50,51,True
160,349,354,True,False,False,False,False,380,50,51,True
161,349,372,True,False,False,False,False,319,50,54,True
162,373,375,True,False,False,False,False,447,54,54,True
164,369,376,True,False,False,False,False,404,53,54,True
165,349,352,True,False,False,True,False,321,50,51,True
166,350,357,True,False,False,False,False,447,50,51,True
168,382,398,True,False,False,False,False,402,55,57,True
169,349,442,True,False,False,False,False,363,50,64,True
170,375,406,True,False,False,False,False,391,54,58,True
171,359,395,True,False,False,False,False,389,52,57,True
172,362,389,True,False,False,False,False,372,52,56,True
174,349,385,True,False,False,False,False,31642,50,55,True
176,349,362,True,False,False,False,False,31642,50,52,True
179,454,487,True,True,False,True,False,354,65,70,True
180,355,381,True,False,False,False,False,334,51,55,True
181,349,421,True,False,False,True,False,327,50,61,True
183,425,433,True,False,False,True,False,289,61,62,True
184,371,372,True,False,True,True,False,410,53,54,True
185,360,367,True,False,False,False,False,335,52,53,True
187,349,359,True,False,False,True,False,443,50,52,True
188,349,352,True,False,False,False,False,313,50,51,True
189,349,351,True,False,False,False,False,31782,50,51,True
190,360,412,True,False,False,False,False,315,52,59,True
192,353,354,True,False,False,False,False,321,51,51,True
193,353,354,True,False,False,True,False,310,51,51,True
194,349,356,True,False,False,False,False,313,50,51,True
195,383,388,True,False,False,False,False,384,55,56,True
196,352,353,True,False,True,False,False,346,51,51,True
197,349,352,True,False,False,False,False,32004,50,51,True
198,353,354,True,False,True,False,False,420,51,51,True
199,349,356,True,False,False,False,False,363,50,51,False
202,364,437,True,False,False,False,False,345,52,63,True
203,349,382,True,False,False,False,False,323,50,55,True
204,353,384,True,False,False,False,False,429,51,55,True
205,478,482,True,False,False,False,False,367,69,69,False
208,545,548,True,False,False,True,False,327,78,79,True
209,396,397,True,False,True,False,False,422,57,57,True
210,360,362,True,False,False,True,False,389,52,52,True
211,358,378,True,False,False,False,False,424,52,54,True
212,375,383,True,False,False,False,False,288,54,55,True
215,371,372,True,False,False,False,False,322,53,54,True
216,349,356,True,False,False,False,False,427,50,51,True
217,384,397,True,False,False,False,False,406,55,57,True
218,401,403,True,False,True,False,False,321,58,58,True
219,396,402,True,False,True,False,False,355,57,58,True
220,376,379,True,False,False,False,False,382,54,55,True
222,377,382,True,False,True,False,False,304,54,55,True
223,360,368,True,False,False,False,False,445,52,53,True
224,350,456,True,False,False,False,False,286,50,66,True
225,363,399,True,False,False,False,False,31642,52,57,True
226,353,373,True,False,False,False,False,422,51,54,True
227,361,362,True,False,False,False,False,298,52,52,True
228,349,363,True,False,False,False,False,375,50,52,True
230,400,401,True,False,False,False,False,31401,58,58,True
232,358,361,True,False,True,False,False,361,52,52,True
234,349,469,True,False,False,False,False,335,50,67,True
235,349,351,True,False,True,True,False,315,50,51,True
236,354,412,True,False,False,False,False,306,51,59,True
238,354,389,True,False,False,False,False,361,51,56,True
240,349,434,True,False,False,False,False,354,50,62,True
242,349,384,True,False,True,False,False,400,50,55,True
243,480,481,True,False,True,False,False,323,69,69,True
244,349,351,True,False,False,False,False,310,50,51,True
245,381,382,True,False,False,False,False,408,55,55,True
246,358,371,True,False,False,False,False,335,52,53,True
248,397,423,True,False,True,False,False,569,57,61,False
249,349,351,True,False,False,False,False,289,50,51,True
251,349,361,True,False,False,False,False,296,50,52,True
253,368,371,True,False,True,False,False,441,53,53,True
254,491,507,True,False,False,False,False,422,71,73,True
256,379,382,True,False,True,False,False,424,55,55,True
257,370,379,True,False,False,False,False,445,53,55,True
258,406,409,True,False,False,False,False,293,58,59,True
260,411,423,True,False,False,False,False,359,59,61,True
261,349,454,True,False,False,False,False,323,50,65,True
262,350,352,True,False,True,False,False,443,50,51,True
263,446,447,True,False,True,True,False,319,64,64,True
264,349,381,True,False,False,False,False,443,50,55,True
265,349,354,True,False,False,False,False,424,50,51,True
266,349,361,True,False,False,False,False,367,50,52,True
269,351,360,True,False,False,False,False,299,51,52,True
271,349,350,True,False,False,False,False,329,50,50,False
273,351,359,True,False,False,False,False,338,51,52,True
275,505,508,True,False,False,True,False,313,73,73,True
276,433,434,True,False,False,True,False,433,62,62,True
278,425,429,True,False,False,True,False,288,61,62,True
279,368,377,True,False,False,False,False,310,53,54,True
280,469,480,True,False,False,False,False,370,67,69,True
281,455,463,True,False,False,True,False,429,65,67,True
282,382,384,True,False,False,False,False,367,55,55,True
283,353,380,True,False,False,False,False,443,51,55,True
284,368,390,True,False,False,False,False,388,53,56,True
285,359,361,True,False,False,False,False,289,52,52,True
286,467,468,True,False,False,False,False,445,67,67,False
287,392,397,True,False,False,True,False,450,56,57,True
288,387,388,True,False,False,False,False,432,56,56,True
289,359,364,True,False,False,False,False,429,52,52,True
290,512,513,True,False,False,True,False,367,74,74,True
292,362,363,True,False,False,False,False,445,52,52,True
293,535,541,True,False,False,True,False,334,77,78,True
294,352,353,True,False,False,True,False,420,51,51,True
297,349,373,True,False,False,False,False,421,50,54,True
300,356,372,True,False,True,True,False,424,51,54,True
302,359,360,True,False,False,False,False,389,52,52,True
303,374,383,True,False,False,False,False,343,54,55,True
304,350,353,True,False,True,True,False,322,50,51,True
305,349,352,True,False,False,True,False,319,50,51,True
306,517,518,True,False,False,True,False,382,74,74,True
307,538,539,True,False,False,True,False,450,77,77,True
308,367,370,True,False,False,False,False,367,53,53,True
309,471,488,True,False,False,False,False,367,68,70,True
311,464,480,True,False,False,False,False,321,67,69,True
312,460,461,True,False,False,True,False,402,66,66,True
317,378,389,True,False,True,False,False,356,54,56,True
318,423,424,True,False,False,False,False,360,61,61,True
319,389,393,True,False,False,False,False,408,56,57,True
321,383,387,True,False,True,True,False,450,55,56,True
322,349,350,True,False,False,False,False,421,50,50,True
324,369,372,True,False,True,True,False,367,53,54,True
325,361,362,True,False,False,False,False,427,52,52,True
327,349,404,True,False,False,False,False,297,50,58,True
328,494,496,True,False,True,True,False,361,71,71,True
331,399,401,True,False,False,False,False,404,57,58,True
332,412,419,True,False,False,True,False,356,59,60,True
333,349,357,True,False,False,False,False,318,50,51,True
334,359,360,True,False,False,False,False,359,52,52,True
335,500,516,True,False,False,False,False,450,72,74,True
336,349,354,True,False,False,False,False,343,50,51,True
337,355,356,True,False,False,False,False,341,51,51,True
338,395,401,True,False,False,False,False,340,57,58,True
339,401,406,True,False,False,True,False,288,58,58,True
340,393,447,True,False,False,False,False,403,57,64,True
341,349,418,True,False,False,False,False,298,50,60,True
342,381,442,True,False,False,True,False,313,55,64,True
343,477,502,True,False,False,False,False,32004,69,72,True
344,349,356,True,False,False,False,False,433,50,51,True
345,403,404,True,False,False,True,False,396,58,58,True
346,523,525,True,False,False,True,False,354,75,75,True
349,349,431,True,False,False,False,False,324,50,62,True
350,358,368,True,False,False,True,False,363,52,53,True
351,379,385,True,False,True,True,False,311,55,55,True
353,349,363,True,False,False,False,False,333,50,52,True
354,354,357,True,False,True,False,False,346,51,51,True
356,349,353,True,False,False,False,False,382,50,51,True
358,382,387,True,False,True,False,False,439,55,56,True
360,365,426,True,False,False,False,False,337,53,61,True
361,386,388,True,False,True,True,False,443,56,56,True
364,355,359,True,False,False,True,False,404,51,52,True
365,375,380,True,False,True,True,False,381,54,55,True
366,379,383,True,False,False,False,False,310,55,55,True
368,349,351,True,False,False,True,False,445,50,51,True
369,385,389,True,False,False,False,False,360,55,56,True
370,349,382,True,True,False,False,False,329,50,55,True
371,382,384,True,False,True,False,False,427,55,55,True
374,362,363,True,False,True,True,False,361,52,52,True
376,391,392,True,False,True,False,False,298,56,56,True
377,356,359,True,False,False,False,False,403,51,52,True
378,456,458,True,False,True,True,True,299,66,66,True
380,366,367,True,False,True,False,False,427,53,53,True
381,349,354,True,False,False,True,False,32004,50,51,True
382,407,504,True,False,False,False,False,372,59,72,False
383,548,549,True,False,True,True,False,31782,79,79,True
384,349,389,True,False,False,False,False,329,50,56,True
385,450,533,True,False,False,False,False,384,65,77,True
386,349,360,True,False,False,False,False,424,50,52,True
387,364,367,True,False,True,False,False,367,52,53,True
388,378,383,True,False,False,False,False,427,54,55,True
389,392,393,True,False,True,False,False,406,56,57,True
390,363,375,True,False,False,False,False,447,52,54,True
393,391,392,True,False,False,False,False,427,56,56,True
394,381,385,True,False,False,False,False,31782,55,55,True
395,365,366,True,False,False,False,False,289,53,53,True
396,398,408,True,False,False,True,False,368,57,59,True
397,370,371,True,False,True,False,False,367,53,53,True
398,372,379,True,False,False,False,False,406,54,55,True
400,381,382,True,False,True,False,False,388,55,55,True
401,349,358,True,False,False,False,False,367,50,52,True
402,442,444,True,False,False,True,False,429,64,64,True
403,349,375,True,False,False,False,False,402,50,54,True
404,471,474,True,False,False,False,False,396,68,68,True
405,349,355,True,False,False,True,False,361,50,51,True
407,349,409,True,False,False,False,False,438,50,59,True
408,469,482,True,False,False,True,False,31782,67,69,True
409,371,373,True,False,False,True,False,367,53,54,True
410,368,371,True,False,False,False,False,370,53,53,True
411,361,380,True,False,True,False,False,382,52,55,True
412,378,380,True,False,False,False,False,313,54,55,True
413,456,459,True,False,False,True,False,448,66,66,True
414,378,383,True,False,False,False,False,310,54,55,True
416,349,353,True,False,False,False,False,400,50,51,True
417,350,361,True,False,False,False,False,421,50,52,True
418,349,355,True,False,False,False,False,384,50,51,True
419,349,355,True,False,False,False,False,324,50,51,True
420,351,368,True,False,False,True,False,32004,51,53,True
421,349,351,True,False,True,False,False,329,50,51,True
425,424,425,True,False,True,True,False,288,61,61,True
426,411,413,True,False,True,True,False,406,59,59,True
427,364,380,True,False,False,False,False,445,52,55,False
428,350,352,True,False,False,False,False,443,50,51,True
429,405,457,True,False,False,False,False,439,58,66,True
430,349,386,True,False,False,False,False,433,50,56,True
431,408,437,True,False,False,False,False,447,59,63,True
432,392,393,True,False,False,False,False,354,56,57,True
433,349,351,True,False,False,False,False,445,50,51,True
434,542,543,True,False,False,True,False,381,78,78,True
435,402,411,True,False,False,False,False,3333,58,59,False
436,385,397,True,False,False,False,False,420,55,57,True
437,355,359,True,False,True,True,False,361,51,52,True
439,349,350,True,False,False,False,False,340,50,50,True
441,439,447,True,False,False,False,False,315,63,64,True
442,402,406,True,False,False,False,False,365,58,58,True
443,357,358,True,False,False,False,False,424,51,52,True
444,349,351,True,False,False,False,False,427,50,51,False
445,356,358,True,False,False,False,False,293,51,52,True
446,503,504,True,False,False,False,False,293,72,72,True
447,375,432,True,False,False,True,False,286,54,62,True
448,365,392,True,False,False,False,False,304,53,56,True
449,349,373,True,False,False,False,False,31642,50,54,True
450,380,381,True,False,False,False,False,400,55,55,True
451,398,401,True,False,False,False,False,414,57,58,True
453,349,351,True,False,False,False,False,369,50,51,False
454,374,377,True,False,True,True,False,295,54,54,True
456,374,375,True,False,True,True,False,438,54,54,True
457,350,356,True,False,False,False,False,292,50,51,True
458,527,547,True,False,False,True,False,310,76,79,True
460,350,353,True,False,False,False,False,309,50,51,True
461,349,376,True,False,False,False,False,370,50,54,True
462,461,477,True,False,False,False,False,304,66,69,True
463,354,357,True,False,False,False,False,361,51,51,True
464,395,398,True,False,False,True,False,306,57,57,True
465,349,369,True,False,False,False,False,318,50,53,False
467,408,409,True,False,False,True,False,296,59,59,True
468,368,369,True,False,False,False,False,338,53,53,True
469,388,390,True,False,True,False,False,368,56,56,True
470,542,544,True,False,False,True,False,388,78,78,False
471,423,429,True,False,False,False,False,420,61,62,True
472,382,389,True,False,True,False,False,389,55,56,True
475,349,355,True,False,False,False,False,31642,50,51,True
477,349,378,True,False,False,False,False,335,50,54,True
478,400,421,True,False,False,False,False,313,58,61,True
479,349,368,True,False,False,False,False,320,50,53,True
480,373,375,True,False,False,False,False,433,54,54,True
481,349,350,True,False,False,True,False,32004,50,50,True
482,349,358,True,False,False,False,False,381,50,52,True
483,506,508,True,False,False,True,False,31782,73,73,True
484,375,381,True,False,False,False,False,424,54,55,True
485,386,395,True,False,False,False,False,330,56,57,True
486,370,375,True,False,False,False,False,3217,53,54,False
489,357,358,True,False,False,False,False,367,51,52,True
490,390,398,True,False,False,False,False,427,56,57,True
491,447,459,True,False,False,True,False,375,64,66,True
493,353,365,True,False,False,False,False,422,51,53,True
495,447,450,True,False,False,False,False,420,64,65,True
497,349,378,True,False,False,False,False,299,50,54,True
499,349,536,True,True,False,False,False,299,50,77,True
502,351,358,True,False,False,False,False,381,51,52,True
503,360,365,True,False,False,False,False,358,52,53,True
507,362,374,True,False,False,False,False,432,52,54,True
508,349,364,True,False,False,False,False,421,50,52,True
510,356,358,True,False,True,False,False,31862,51,52,True
511,358,359,True,False,False,True,False,316,52,52,True
512,349,660,True,False,False,False,False,354,50,95,True
513,381,382,True,False,True,True,False,447,55,55,True
514,473,476,True,False,False,False,False,334,68,68,True
515,395,408,True,False,False,False,False,400,57,59,True
517,360,365,True,False,False,False,False,367,52,53,True
519,380,383,True,False,False,False,False,309,55,55,True
520,353,358,True,False,False,False,False,427,51,52,True
521,349,355,True,False,False,False,False,354,50,51,False
523,349,359,True,False,False,False,False,406,50,52,True
524,349,350,True,False,False,False,False,450,50,50,True
525,379,416,True,False,False,False,False,361,55,60,True
526,363,367,True,False,False,False,False,31782,52,53,True
529,412,430,True,False,False,False,False,298,59,62,True
530,361,384,True,False,False,False,False,363,52,55,True
531,363,388,True,False,False,False,False,306,52,56,True
532,349,433,True,False,False,False,False,32004,50,62,True
533,375,400,True,False,False,False,False,288,54,58,True
534,391,392,True,False,False,False,False,396,56,56,True
536,357,359,True,False,False,True,False,422,51,52,True
537,362,383,True,False,False,False,False,401,52,55,True
538,349,353,True,False,False,False,False,367,50,51,True
540,421,424,True,False,False,True,False,299,61,61,True
542,402,404,True,False,False,False,False,31582,58,58,True
544,373,375,True,False,False,False,False,381,54,54,True
545,350,358,True,False,False,False,False,346,50,52,True
546,364,366,True,False,False,False,False,327,52,53,True
547,393,394,True,False,False,False,False,295,57,57,True
548,350,355,True,False,True,False,False,381,50,51,True
549,354,419,True,False,False,False,False,352,51,60,True
550,349,365,True,False,False,False,False,330,50,53,True
551,385,390,True,False,False,False,False,443,55,56,True
552,478,487,True,False,False,False,False,298,69,70,True
553,357,359,True,False,True,False,False,447,51,52,True
554,469,508,True,False,False,False,False,356,67,73,True
555,349,389,True,False,False,False,False,31782,50,56,True
557,455,456,True,False,False,False,False,439,65,66,True
558,349,355,True,False,False,False,False,300,50,51,True
559,372,377,True,True,False,False,False,297,54,54,True
560,355,358,True,False,True,True,False,382,51,52,True
562,388,415,True,False,False,False,False,356,56,60,True
563,355,357,True,False,False,False,False,404,51,51,True
564,349,354,True,False,False,False,False,391,50,51,True
566,355,362,True,False,False,False,False,362,51,52,True
567,362,363,True,False,False,False,False,292,52,52,True
569,378,385,True,False,True,False,False,412,54,55,True
570,360,388,True,False,False,False,False,322,52,56,True
572,349,506,True,True,False,True,False,656,50,73,False
573,451,453,True,False,False,True,False,445,65,65,True
575,373,374,True,False,True,False,False,433,54,54,True
576,353,355,True,False,False,True,False,298,51,51,True
577,404,423,True,False,True,False,False,309,58,61,True
578,432,437,True,False,False,False,False,2538,62,63,False
579,349,372,True,False,False,False,False,333,50,54,False
580,467,476,True,False,False,False,False,359,67,68,False
582,349,357,True,False,True,False,False,439,50,51,True
583,396,401,True,False,False,True,False,427,57,58,True
584,352,363,True,True,False,False,False,323,51,52,True
585,360,398,True,False,False,False,False,306,52,57,True
586,369,374,True,False,False,False,False,335,53,54,True
587,354,413,True,False,False,False,False,324,51,59,True
588,360,361,True,False,True,True,False,388,52,52,True
590,349,425,True,False,False,False,False,296,50,61,True
591,373,375,True,False,True,False,False,391,54,54,True
592,349,350,True,False,False,False,False,404,50,50,True
594,372,422,True,False,False,True,False,427,54,61,True
595,375,378,True,False,False,True,False,352,54,54,True
596,362,364,True,False,False,False,False,297,52,52,True
597,359,362,True,False,False,False,False,381,52,52,True
598,379,385,True,False,False,True,False,360,55,55,True
600,371,377,True,False,False,False,False,315,53,54,True
601,389,393,True,False,False,False,False,32004,56,57,True
603,349,359,True,False,False,True,False,297,50,52,True
604,349,375,True,False,False,True,False,359,50,54,True
605,349,356,True,False,False,False,False,369,50,51,True
606,357,362,True,False,False,False,False,446,51,52,True
607,349,407,True,False,True,False,False,372,50,59,True
608,365,366,True,False,False,False,False,297,53,53,True
609,349,352,True,False,False,True,False,388,50,51,True
611,351,354,True,False,False,False,False,380,51,51,True
612,390,403,True,False,False,False,False,422,56,58,True
614,450,451,True,False,False,True,False,288,65,65,True
618,411,414,True,False,False,True,False,316,59,60,True
621,361,364,True,False,False,False,False,2962,52,52,False
622,350,351,True,False,False,False,False,298,50,51,True
623,402,403,True,False,True,True,False,381,58,58,True
624,349,367,True,False,False,True,False,370,50,53,True
625,365,377,True,False,False,False,False,319,53,54,True
627,349,451,True,False,False,False,False,414,50,65,True
629,369,387,True,False,False,False,False,358,53,56,True
630,391,394,True,False,False,False,False,306,56,57,True
631,404,408,True,False,True,False,False,389,58,59,True
632,381,390,True,False,False,False,False,422,55,56,True
633,349,352,True,False,True,False,False,321,50,51,True
634,402,469,True,True,False,True,False,442,58,67,True
635,349,438,True,False,False,True,False,31742,50,63,True
636,376,377,True,False,True,True,False,300,54,54,True
637,478,481,True,False,False,True,False,364,69,69,True
638,386,389,True,False,True,False,False,361,56,56,True
640,394,409,True,False,False,False,False,356,57,59,True
641,350,353,True,False,True,True,False,374,50,51,True
642,355,365,True,False,False,True,False,391,51,53,True
644,396,397,True,False,False,True,False,335,57,57,True
645,358,361,True,True,False,False,False,445,52,52,False
646,349,368,True,False,False,False,False,408,50,53,True
647,366,368,True,False,False,True,False,343,53,53,True
649,349,353,True,True,False,False,False,295,50,51,True
650,365,368,True,False,False,True,False,563,53,53,False
652,405,419,True,False,False,False,False,424,58,60,True
653,352,357,True,False,True,False,False,31742,51,51,True
654,362,368,True,False,False,True,False,304,52,53,True
655,444,466,True,False,False,False,False,289,64,67,True
656,390,397,True,False,False,False,False,354,56,57,True
658,372,403,True,False,False,False,False,421,54,58,True
659,349,350,True,False,False,False,False,400,50,50,False
660,482,485,True,False,True,True,False,380,69,70,True
662,349,363,True,False,False,False,False,356,50,52,True
663,381,382,True,False,False,False,False,427,55,55,True
664,371,382,True,False,False,False,False,424,53,55,True
665,404,415,True,False,False,False,False,297,58,60,True
666,383,394,True,False,False,False,False,289,55,57,True
668,360,368,True,False,False,False,False,289,52,53,True
669,365,372,True,False,True,True,False,450,53,54,True
670,349,353,True,False,False,True,False,304,50,51,True
672,356,359,True,False,False,False,False,403,51,52,True
673,349,368,True,False,False,False,False,360,50,53,True
674,390,391,True,False,False,False,False,446,56,56,True
675,428,431,True,False,False,True,False,372,62,62,True
676,396,397,True,False,True,True,False,364,57,57,True
677,365,385,True,False,False,False,False,380,53,55,True
678,361,369,True,True,False,False,False,380,52,53,True
679,381,382,True,False,False,False,False,447,55,55,True
680,361,363,True,False,False,False,False,424,52,52,True
681,461,467,True,False,False,False,False,443,66,67,True
682,349,411,True,False,False,True,False,432,50,59,True
684,370,371,True,False,False,True,False,300,53,53,True
685,362,384,True,False,False,False,False,343,52,55,True
686,367,389,True,False,False,False,False,313,53,56,False
687,403,428,True,False,False,False,False,403,58,62,True
690,355,356,True,False,False,False,False,318,51,51,True
691,362,373,True,False,False,True,False,439,52,54,True
694,349,357,True,False,False,False,False,297,50,51,True
695,391,396,True,False,True,False,False,396,56,57,True
696,379,382,True,False,True,False,False,31742,55,55,True
697,414,421,True,False,False,False,False,334,60,61,True
698,362,421,True,False,False,True,False,433,52,61,True
699,349,354,True,False,True,True,False,408,50,51,True
700,372,501,True,False,False,True,False,382,54,72,True
702,451,454,True,False,True,True,False,306,65,65,True
703,533,537,True,False,True,True,False,422,77,77,True
705,366,372,True,False,False,False,False,402,53,54,True
706,377,382,True,False,False,False,False,343,54,55,True
707,351,354,True,False,True,False,False,429,51,51,True
708,381,397,True,False,False,False,False,402,55,57,True
709,349,358,True,False,True,False,False,427,50,52,True
710,365,366,True,False,False,True,False,401,53,53,True
712,360,361,True,False,True,True,False,448,52,52,True
714,400,401,True,False,False,False,False,403,58,58,True
715,374,375,True,False,False,False,False,354,54,54,True
716,352,353,True,False,False,False,False,400,51,51,True
717,349,369,True,False,False,False,False,335,50,53,True
718,433,435,True,False,True,False,False,324,62,63,True
719,380,391,True,False,False,False,False,32004,55,56,True
720,376,384,True,False,False,False,False,31862,54,55,True
721,350,351,True,False,False,False,False,31642,50,51,True
722,392,395,True,False,True,True,False,359,56,57,True
725,438,439,True,False,False,True,False,400,63,63,True
726,493,516,True,False,False,True,False,343,71,74,True
727,359,362,True,False,False,False,False,366,52,52,True
728,353,355,True,False,True,False,False,329,51,51,True
729,363,367,True,False,False,False,False,707,52,53,False
730,474,475,True,False,False,False,False,400,68,68,True
731,354,355,True,False,False,False,False,329,51,51,True
732,373,376,True,False,False,True,False,293,54,54,True
733,395,396,True,False,False,False,False,356,57,57,True
734,371,378,True,False,False,False,False,412,53,54,True
735,355,407,True,False,False,False,False,317,51,59,True
737,349,384,True,False,False,False,False,309,50,55,True
738,355,370,True,False,False,False,False,318,51,53,True
740,433,435,True,False,True,True,False,404,62,63,True
741,462,463,True,False,False,True,False,315,66,67,True
742,369,370,True,False,False,False,False,445,53,53,True
743,420,425,True,False,False,True,False,292,60,61,True
744,398,403,True,False,False,True,False,365,57,58,True
746,349,367,True,False,False,False,False,309,50,53,True
747,351,353,True,False,False,False,False,410,51,51,True
748,349,391,True,False,False,False,False,32004,50,56,True
749,365,374,True,False,False,False,False,346,53,54,True
751,349,551,True,False,False,False,False,289,50,79,True
752,416,418,True,False,False,True,False,356,60,60,True
753,390,401,True,False,False,False,False,396,56,58,True
