AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,household_key,sales,baskets,active_weeks,avg_basket_value
19-24,U,50-74K,Unknown,2 Adults Kids,3,1,2199,5639.170000000003,155,82,36.38174193548389
45-54,A,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,443,2644.209999999999,103,64,25.671941747572806
19-24,U,35-49K,Unknown,Single Female,1,None/Unknown,2432,4948.110000000002,238,68,20.790378151260516
45-54,A,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,766,8350.090000000006,122,71,68.44336065573775
45-54,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,1234,5547.830000000002,94,63,59.0194680851064
55-64,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,1822,3516.4400000000014,218,72,16.130458715596337
65+,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,243,8074.120000000006,250,89,32.296480000000024
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,2203,5239.090000000004,103,57,50.86495145631071
45-54,U,50-74K,Unknown,1 Adult Kids,2,1,1256,5274.320000000004,170,88,31.025411764705908
35-44,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,806,5875.350000000001,125,65,47.00280000000001
45-54,U,35-49K,Homeowner,Unknown,1,None/Unknown,1753,2964.050000000001,456,79,6.500109649122809
19-24,B,Under 15K,Renter,2 Adults Kids,5+,3+,1816,3869.5100000000016,160,78,24.18443750000001
35-44,U,Under 15K,Homeowner,2 Adults Kids,4,2,1268,3013.5600000000013,71,47,42.44450704225354
45-54,U,25-34K,Homeowner,Single Female,1,None/Unknown,2260,7456.640000000003,133,76,56.06496240601506
35-44,A,50-74K,Homeowner,2 Adults Kids,4,2,973,13486.32,84,59,160.55142857142857
19-24,U,Under 15K,Unknown,Unknown,1,None/Unknown,1483,4725.270000000001,112,66,42.18991071428572
65+,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,464,3590.4900000000007,173,82,20.754277456647404
65+,A,25-34K,Homeowner,Single Female,2,None/Unknown,1296,2124.43,80,77,26.555374999999998
19-24,B,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,456,6314.030000000003,94,70,67.17053191489366
25-34,A,75-99K,Homeowner,2 Adults Kids,4,2,605,5856.380000000002,128,67,45.752968750000015
45-54,A,75-99K,Homeowner,2 Adults Kids,5+,3+,1775,9485.140000000009,211,81,44.95327014218014
45-54,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,546,3339.000000000001,122,64,27.368852459016402
45-54,U,25-34K,Homeowner,2 Adults Kids,3,1,209,6876.560000000001,196,80,35.08448979591837
25-34,A,15-24K,Renter,2 Adults Kids,4,2,1751,4142.870000000003,142,64,29.17514084507044
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,733,2678.56,76,59,35.24421052631579
45-54,U,Under 15K,Unknown,2 Adults No Kids,2,None/Unknown,2367,4495.530000000002,142,62,31.658661971831
55-64,A,15-24K,Unknown,Single Female,2,None/Unknown,1123,3915.8100000000013,73,53,53.641232876712344
19-24,B,50-74K,Homeowner,Single Female,1,None/Unknown,845,5097.2800000000025,117,69,43.566495726495745
35-44,A,100-124K,Homeowner,2 Adults Kids,4,2,601,5241.270000000003,79,55,66.34518987341777
25-34,B,Under 15K,Renter,2 Adults No Kids,2,None/Unknown,451,2376.28,161,76,14.759503105590063
35-44,B,15-24K,Unknown,Single Female,1,None/Unknown,583,3063.340000000001,156,65,19.63679487179488
19-24,A,15-24K,Homeowner,2 Adults Kids,3,1,1219,823.0799999999999,121,67,6.802314049586776
45-54,U,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,1802,4835.440000000002,52,46,92.98923076923082
35-44,A,75-99K,Homeowner,2 Adults Kids,5+,3+,490,3886.87,80,49,48.585875
19-24,U,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,157,2748.9500000000007,172,78,15.98226744186047
45-54,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown,321,5935.6600000000035,106,67,55.99679245283022
35-44,A,15-24K,Unknown,2 Adults Kids,4,2,614,2757.2400000000002,122,70,22.60032786885246
35-44,A,75-99K,Homeowner,Single Female,2,None/Unknown,1618,4562.480000000001,99,60,46.08565656565658
25-34,U,25-34K,Unknown,Single Female,1,None/Unknown,1591,4844.96,111,62,43.64828828828829
45-54,U,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,159,2143.8700000000003,86,53,24.92872093023256
25-34,B,25-34K,Renter,1 Adult Kids,5+,3+,608,5148.980000000003,217,84,23.728018433179738
25-34,U,35-49K,Unknown,Single Male,1,None/Unknown,1627,3484.0200000000004,114,54,30.561578947368425
45-54,A,35-49K,Homeowner,2 Adults Kids,4,2,1218,3093.5300000000007,96,62,32.22427083333334
65+,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,1318,5583.960000000004,74,65,75.45891891891897
55-64,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,2063,2591.4300000000007,81,61,31.992962962962974
45-54,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,2154,2523.34,120,56,21.027833333333334
35-44,A,35-49K,Homeowner,2 Adults Kids,5+,3+,104,6546.74,128,67,51.14640625
25-34,A,35-49K,Unknown,2 Adults Kids,3,1,1709,2141.6400000000003,87,48,24.616551724137935
25-34,A,75-99K,Homeowner,Single Male,2,None/Unknown,309,2325.5900000000006,22,21,105.70863636363639
35-44,A,50-74K,Homeowner,2 Adults Kids,5+,3+,2317,13967.370000000006,150,81,93.11580000000004
45-54,U,15-24K,Unknown,Unknown,1,None/Unknown,863,2183.53,146,51,14.95568493150685
25-34,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,2279,972.4699999999999,59,43,16.482542372881355
19-24,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,48,1172.83,50,33,23.456599999999998
35-44,A,125-149K,Renter,Single Female,2,None/Unknown,762,8982.790000000008,886,88,10.138589164785563
45-54,B,25-34K,Renter,2 Adults Kids,4,2,2294,8381.660000000005,186,72,45.06268817204304
35-44,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,883,10165.130000000008,352,91,28.87821022727275
45-54,U,250K+,Homeowner,2 Adults No Kids,2,None/Unknown,2328,14193.610000000015,166,81,85.50367469879527
35-44,U,50-74K,Unknown,1 Adult Kids,3,2,2208,9456.830000000013,193,81,48.99911917098452
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,1394,4391.580000000003,151,72,29.08331125827816
35-44,A,35-49K,Unknown,Unknown,5+,3+,1012,2342.5100000000007,121,59,19.35958677685951
45-54,U,75-99K,Homeowner,2 Adults Kids,3,1,808,2317.9000000000005,206,78,11.251941747572818
45-54,A,35-49K,Homeowner,2 Adults Kids,3,1,623,3899.1600000000008,124,63,31.444838709677427
35-44,B,35-49K,Homeowner,1 Adult Kids,4,3+,1146,8854.640000000003,345,87,25.665623188405807
35-44,B,25-34K,Homeowner,Single Male,1,None/Unknown,1929,4395.830000000002,62,51,70.90048387096778
45-54,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,263,5870.330000000004,325,88,18.062553846153858
65+,U,35-49K,Homeowner,Single Female,1,None/Unknown,1160,4377.960000000001,145,72,30.192827586206903
35-44,U,15-24K,Unknown,2 Adults No Kids,2,None/Unknown,1138,4546.370000000003,212,90,21.445141509433974
19-24,A,35-49K,Renter,2 Adults Kids,3,1,1537,2878.580000000001,148,63,19.44986486486487
45-54,A,35-49K,Homeowner,2 Adults Kids,5+,3+,2112,5116.1500000000015,132,74,38.758712121212135
25-34,A,50-74K,Homeowner,2 Adults Kids,4,2,294,5411.360000000003,269,96,20.11657992565057
35-44,U,50-74K,Homeowner,Unknown,1,None/Unknown,1588,5199.980000000002,234,75,22.222136752136763
19-24,U,50-74K,Unknown,Single Female,1,None/Unknown,2064,5424.850000000003,271,84,20.0178966789668
35-44,A,75-99K,Homeowner,2 Adults Kids,3,1,371,15716.540000000008,161,87,97.61826086956526
35-44,U,50-74K,Unknown,Single Male,1,None/Unknown,1057,8219.340000000004,184,90,44.67032608695654
25-34,B,25-34K,Renter,1 Adult Kids,3,2,1285,5048.590000000004,137,80,36.85102189781025
25-34,U,35-49K,Homeowner,Single Female,1,None/Unknown,110,3461.3200000000015,185,78,18.709837837837846
35-44,B,15-24K,Unknown,Single Female,1,None/Unknown,2217,4430.010000000002,192,83,23.072968750000012
35-44,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,900,16450.530000000006,1223,93,13.450964840556015
25-34,U,75-99K,Homeowner,2 Adults Kids,4,2,13,13190.92000000001,275,87,47.96698181818185
35-44,A,100-124K,Unknown,2 Adults Kids,5+,3+,2020,8458.21000000001,252,89,33.56432539682544
65+,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,74,2047.6400000000003,131,68,15.63083969465649
19-24,U,15-24K,Unknown,2 Adults No Kids,2,None/Unknown,932,5845.960000000001,158,74,36.99974683544304
55-64,U,100-124K,Homeowner,Unknown,1,None/Unknown,2342,5934.360000000001,196,81,30.277346938775512
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,7,3400.050000000001,59,50,57.62796610169493
35-44,U,25-34K,Unknown,2 Adults No Kids,2,None/Unknown,672,2731.15,121,67,22.571487603305787
45-54,U,25-34K,Unknown,Single Female,1,None/Unknown,725,4828.580000000001,133,75,36.3051127819549
35-44,A,35-49K,Homeowner,2 Adults Kids,3,1,630,7746.270000000003,206,90,37.60325242718448
65+,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,2188,3917.340000000001,129,76,30.366976744186054
45-54,U,35-49K,Unknown,Single Male,1,None/Unknown,2497,7111.980000000004,221,86,32.18090497737558
35-44,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,2324,2671.7700000000004,146,80,18.299794520547948
35-44,U,25-34K,Homeowner,Single Male,1,None/Unknown,485,5431.010000000001,162,77,33.52475308641976
45-54,A,250K+,Homeowner,2 Adults No Kids,2,None/Unknown,2284,17152.629999999994,265,80,64.72690566037734
35-44,A,50-74K,Homeowner,2 Adults Kids,4,2,2190,9520.850000000006,225,87,42.314888888888916
19-24,U,Under 15K,Unknown,Single Female,1,None/Unknown,955,4053.6900000000014,274,87,14.794489051094896
25-34,U,75-99K,Unknown,Single Female,1,None/Unknown,329,3026.710000000001,146,88,20.73089041095891
19-24,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,560,7290.900000000008,326,100,22.364723926380393
45-54,U,Under 15K,Unknown,Single Male,1,None/Unknown,2006,4873.2400000000025,111,67,43.90306306306309
65+,B,35-49K,Probable Owner,2 Adults No Kids,2,None/Unknown,117,2568.2099999999996,94,73,27.3213829787234
45-54,U,35-49K,Unknown,Single Male,1,None/Unknown,1765,2949.0100000000016,62,39,47.564677419354865
45-54,A,35-49K,Homeowner,Unknown,2,None/Unknown,1154,3803.550000000001,127,71,29.949212598425206
55-64,A,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,219,11884.790000000014,228,89,52.12627192982462
45-54,B,150-174K,Homeowner,Single Female,1,None/Unknown,1585,9353.850000000008,150,74,62.35900000000005
35-44,A,125-149K,Homeowner,2 Adults Kids,5+,3+,2437,4841.940000000002,74,53,65.43162162162166
45-54,A,35-49K,Unknown,Single Female,2,None/Unknown,417,3012.9600000000005,84,52,35.868571428571435
55-64,A,50-74K,Homeowner,Single Female,2,None/Unknown,378,4715.420000000002,325,94,14.508984615384621
25-34,U,100-124K,Unknown,Single Male,1,None/Unknown,1982,4213.8499999999985,160,64,26.336562499999992
35-44,A,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,1445,5130.590000000004,178,77,28.823539325842717
65+,U,35-49K,Homeowner,Single Female,1,None/Unknown,692,3891.1400000000012,124,79,31.38016129032259
65+,U,15-24K,Homeowner,Single Female,1,None/Unknown,1989,3052.8700000000013,153,85,19.953398692810467
35-44,U,50-74K,Homeowner,Unknown,1,None/Unknown,216,2624.5000000000005,120,70,21.870833333333337
25-34,A,50-74K,Homeowner,2 Adults Kids,5+,3+,437,5915.730000000002,90,58,65.73033333333336
65+,A,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,2411,2019.2500000000002,76,42,26.569078947368425
55-64,A,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,1229,18304.309999999983,385,95,47.54366233766229
65+,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,1454,4934.000000000001,154,62,32.03896103896105
45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,609,1665.8899999999999,162,73,10.283271604938271
45-54,A,75-99K,Homeowner,Single Male,2,None/Unknown,317,6083.300000000003,61,53,99.72622950819677
65+,A,35-49K,Homeowner,Single Female,2,None/Unknown,211,2244.0600000000004,112,70,20.036250000000003
25-34,U,50-74K,Unknown,Single Female,1,None/Unknown,816,3468.6600000000003,106,68,32.723207547169814
65+,A,50-74K,Probable Renter,Single Female,2,None/Unknown,2298,2709.53,83,58,32.64493975903615
65+,U,50-74K,Unknown,Single Male,1,None/Unknown,42,1985.86,89,77,22.313033707865166
25-34,U,35-49K,Unknown,Single Male,1,None/Unknown,1041,7156.7000000000035,291,76,24.593470790378017
25-34,U,35-49K,Unknown,Single Female,1,None/Unknown,542,2313.5200000000004,123,74,18.809105691056914
45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,1689,2711.7900000000004,122,71,22.227786885245905
55-64,A,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,1357,3061.9000000000005,87,76,35.19425287356322
25-34,A,200-249K,Homeowner,2 Adults Kids,5+,3+,976,6190.510000000006,82,51,75.49402439024396
45-54,A,175-199K,Homeowner,Single Female,2,None/Unknown,740,6644.850000000003,113,71,58.80398230088498
35-44,A,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown,39,5033.6600000000035,64,50,78.65093750000005
35-44,U,35-49K,Unknown,Single Male,1,None/Unknown,903,2949.56,72,49,40.96611111111111
45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,1953,2722.810000000001,113,60,24.095663716814165
35-44,A,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown,2110,12470.029999999984,222,97,56.171306306306235
35-44,U,50-74K,Homeowner,Single Female,1,None/Unknown,1948,1602.3200000000002,83,52,19.305060240963858
45-54,U,15-24K,Unknown,2 Adults No Kids,2,None/Unknown,1722,11229.710000000006,258,82,43.52600775193801
65+,U,50-74K,Homeowner,2 Adults Kids,3,1,741,3414.600000000001,88,57,38.80227272727274
35-44,A,15-24K,Homeowner,2 Adults Kids,3,1,434,3778.7500000000014,117,75,32.29700854700856
25-34,A,Under 15K,Homeowner,2 Adults Kids,4,2,1024,9448.750000000005,145,67,65.16379310344831
45-54,B,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,706,4024.600000000002,133,75,30.260150375939865
25-34,B,35-49K,Homeowner,Single Male,1,None/Unknown,2266,8754.120000000006,148,78,59.1494594594595
55-64,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,165,2995.4700000000003,174,78,17.215344827586208
65+,U,100-124K,Unknown,Single Male,1,None/Unknown,462,1510.6299999999997,97,65,15.573505154639172
25-34,U,75-99K,Unknown,Single Female,1,None/Unknown,1267,1689.84,66,55,25.60363636363636
25-34,A,35-49K,Homeowner,2 Adults Kids,3,1,1418,2735.2000000000007,78,64,35.06666666666668
55-64,U,150-174K,Unknown,Single Female,1,None/Unknown,489,5866.560000000001,212,77,27.672452830188686
45-54,U,150-174K,Unknown,Single Male,1,None/Unknown,895,8700.150000000005,211,94,41.23293838862562
35-44,A,100-124K,Homeowner,2 Adults Kids,5+,3+,77,6227.100000000004,87,66,71.57586206896556
45-54,A,75-99K,Homeowner,2 Adults Kids,5+,3+,1094,5935.570000000003,95,63,62.47968421052635
45-54,U,35-49K,Homeowner,2 Adults Kids,3,1,2023,1805.63,109,59,16.565412844036697
65+,A,35-49K,Homeowner,1 Adult Kids,3,1,857,4040.810000000001,43,40,93.97232558139537
45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,2018,4038.1500000000015,148,64,27.284797297297306
45-54,B,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,914,1834.08,60,40,30.567999999999998
25-34,A,50-74K,Unknown,Single Female,2,None/Unknown,2390,1046.59,47,37,22.26787234042553
35-44,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,2494,2120.93,35,26,60.59799999999999
35-44,A,175-199K,Homeowner,2 Adults No Kids,2,None/Unknown,1800,3667.3100000000004,85,51,43.14482352941177
35-44,U,15-24K,Probable Renter,Single Female,1,None/Unknown,1648,5250.3600000000015,116,54,45.26172413793105
45-54,U,Under 15K,Unknown,Single Female,1,None/Unknown,1949,1658.9600000000003,54,33,30.721481481481486
45-54,B,50-74K,Homeowner,2 Adults Kids,3,1,1131,3034.7700000000004,102,57,29.752647058823534
35-44,A,75-99K,Homeowner,2 Adults Kids,5+,3+,840,11944.570000000016,214,81,55.81574766355148
45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,2300,4615.350000000001,118,72,39.11313559322035
45-54,U,125-149K,Unknown,Unknown,1,None/Unknown,607,3203.01,216,53,14.828750000000001
45-54,U,Under 15K,Unknown,Single Male,1,None/Unknown,2200,8673.110000000002,197,94,44.02593908629443
45-54,U,50-74K,Homeowner,Single Female,1,None/Unknown,2237,4941.520000000002,158,80,31.275443037974696
45-54,A,125-149K,Homeowner,2 Adults Kids,5+,3+,1762,15360.140000000005,344,88,44.65156976744188
35-44,U,15-24K,Probable Renter,Single Female,1,None/Unknown,1694,8055.470000000003,249,83,32.35128514056226
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,1091,5617.400000000003,116,58,48.42586206896554
45-54,U,175-199K,Unknown,2 Adults Kids,3,1,1845,12647.610000000022,151,87,83.75900662251671
35-44,U,25-34K,Homeowner,Single Male,1,None/Unknown,1695,1174.5600000000002,160,73,7.341000000000001
45-54,U,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,2374,6249.350000000005,82,62,76.21158536585372
45-54,U,Under 15K,Probable Renter,Single Male,1,None/Unknown,1151,2808.910000000001,159,65,17.666100628930824
45-54,A,Under 15K,Unknown,Single Male,2,None/Unknown,1745,2591.480000000001,125,74,20.73184000000001
45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,2123,4332.450000000002,59,55,73.43135593220342
35-44,A,75-99K,Homeowner,2 Adults Kids,3,1,2467,12850.560000000012,396,90,32.45090909090912
45-54,U,15-24K,Probable Renter,Unknown,1,None/Unknown,1479,9129.230000000007,716,98,12.75032122905029
45-54,A,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,334,4827.800000000001,466,90,10.360085836909873
45-54,U,15-24K,Unknown,2 Adults No Kids,2,None/Unknown,1578,2846.8100000000004,94,55,30.28521276595745
45-54,U,50-74K,Homeowner,1 Adult Kids,5+,3+,2435,3303.849999999999,46,36,71.8228260869565
19-24,U,Under 15K,Probable Renter,Single Female,1,None/Unknown,2426,2437.0600000000004,115,76,21.191826086956524
35-44,U,50-74K,Homeowner,Unknown,1,None/Unknown,755,10617.050000000005,307,91,34.58322475570034
25-34,A,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown,911,3696.76,75,55,49.29013333333334
35-44,A,Under 15K,Homeowner,2 Adults Kids,3,1,198,8659.170000000006,461,86,18.783449023861184
45-54,U,35-49K,Unknown,Single Male,1,None/Unknown,1082,2032.5400000000004,142,86,14.313661971830989
35-44,U,50-74K,Unknown,Unknown,1,None/Unknown,25,3149.6500000000005,94,64,33.50691489361703
25-34,A,50-74K,Renter,2 Adults No Kids,2,None/Unknown,1462,4830.000000000002,120,75,40.250000000000014
35-44,B,35-49K,Unknown,1 Adult Kids,3,2,695,8523.930000000008,226,79,37.7165044247788
35-44,A,35-49K,Homeowner,2 Adults Kids,3,1,1430,20352.989999999983,344,90,59.16566860465112
45-54,B,50-74K,Homeowner,Single Female,1,None/Unknown,2305,6320.640000000007,123,83,51.387317073170784
25-34,B,50-74K,Homeowner,Single Male,1,None/Unknown,1475,14855.210000000014,339,87,43.820678466076735
45-54,A,75-99K,Homeowner,2 Adults Kids,3,1,1650,2259.1600000000003,106,57,21.31283018867925
35-44,A,175-199K,Homeowner,2 Adults Kids,5+,3+,2449,10866.870000000014,290,90,37.47196551724143
35-44,A,250K+,Homeowner,2 Adults Kids,5+,3+,235,12156.64000000001,200,88,60.78320000000005
45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,426,7860.850000000002,228,83,34.47741228070176
35-44,A,150-174K,Homeowner,2 Adults Kids,5+,3+,2115,14774.860000000013,320,90,46.17143750000004
45-54,B,25-34K,Renter,Single Female,1,None/Unknown,390,1806.0199999999998,108,68,16.722407407407406
45-54,U,50-74K,Homeowner,2 Adults Kids,4,2,1337,11500.76000000001,244,86,47.134262295082
55-64,A,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown,2084,2937.95,132,63,22.257196969696967
55-64,B,75-99K,Homeowner,Single Female,1,None/Unknown,1914,4075.9500000000035,157,83,25.96146496815289
45-54,A,35-49K,Homeowner,2 Adults Kids,4,2,1074,7769.220000000004,132,74,58.8577272727273
45-54,A,35-49K,Homeowner,2 Adults Kids,3,1,983,3807.1500000000005,196,78,19.424234693877555
45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,956,10231.930000000006,621,94,16.476537842190027
45-54,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,57,3105.870000000001,194,76,16.009639175257735
35-44,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,1179,9428.400000000005,205,83,45.99219512195124
25-34,U,35-49K,Unknown,1 Adult Kids,2,1,2129,7164.9900000000025,163,81,43.95699386503069
